Trait_ID_6th,Trait_presence,Reference,Original_notes,Comments
338,0,Gould 1967,,
339,0,Gould 1967,,
340,0,Gould 1967,,
341,0,Gould 1967,,
342,0,Gould 1967,,
343,0,Gould 1967,,
344,0,Gould 1967,,
345,0,Gould 1967,,
346,0,Gould 1967,,
347,0,Gould 1967,,
348,0,Gould 1967,,
349,0,Gould 1967,,
350,0,Gould 1967,,
351,0,Gould 1967,,
352,0,Gould 1967,,
353,0,Gould 1967,,
354,0,Gould 1967,,
355,0,Gould 1967,,
356,0,Gould 1967,,
357,0,Gould 1967,,
358,0,Gould 1967,,
359,0,Gould 1967,,
360,0,Gould 1967,,
361,0,Gould 1967,,
362,0,Gould 1967,,
363,0,Gould 1967,,
364,0,Gould 1967,,
365,0,Gould 1967,,
366,0,Gould 1967,,
367,0,Gould 1967,,
368,0,Gould 1967,,
369,0,Gould 1967,,
370,0,Gould 1967,"(""Laws"" here means accepted rules, not statutes or code)",
371,0,Gould 1967,,
372,0,Gould 1967,,
373,0,Gould 1967,,
374,0,Gould 1967,,
375,0,Gould 1967,,
376,1,Gould 1967,,
377,0,Gould 1967,,
378,0,Gould 1967,,
379,0,Gould 1967,,
380,0,Gould 1967,,
381,0,Gould 1967,,
382,0,Gould 1967,,
383,0,Gould 1967,,
384,0,Gould 1967,,
385,0,Gould 1967,,
386,0,Gould 1967,,
387,0,Gould 1967,,
388,0,Gould 1967,,
389,0,Gould 1967,,
390,0,Gould 1967,,
391,0,Gould 1967,,
392,0,Gould 1967,,
393,0,Gould 1967,,
394,0,Gould 1967,,
395,0,Gould 1967,,
396,0,Gould 1967,,
397,0,Gould 1967,,
398,0,Gould 1967,,
399,0,Gould 1967,,
400,0,Gould 1967,,
401,0,Gould 1967,,
402,0,Gould 1967,,
403,0,Gould 1967,,
404,0,Gould 1967,,
405,0,Gould 1967,,
406,0,Gould 1967,,
407,0,Gould 1967,,
408,0,Gould 1967,,
409,0,Gould 1967,,
410,0,Gould 1967,,
411,0,Gould 1967,,
412,0,Gould 1967,,
413,0,Gould 1967,,
414,0,Gould 1967,,
415,0,Gould 1967,,
416,0,Gould 1967,,
417,0,Gould 1967,,
418,0,Gould 1967,,
419,1,Gould 1967,,
420,0,Gould 1967,,
421,0,Gould 1967,,
422,0,Gould 1967,,
423,0,Gould 1967,,
424,0,Gould 1967,,
425,0,Gould 1967,,
426,0,Gould 1967,,
427,0,Gould 1967,,
428,0,Gould 1967,,
429,0,Gould 1967,,
430,0,Gould 1967,,
431,0,Gould 1967,,
432,0,Gould 1967,,
433,0,Gould 1967,,
434,0,Gould 1967,,
435,0,Gould 1967,,
436,0,Gould 1967,,
437,0,Gould 1967,,
438,0,Gould 1967,,
439,0,Gould 1967,,
440,0,Gould 1967,,
441,0,Gould 1967,,
442,0,Gould 1967,,
443,0,Gould 1967,,
444,0,Gould 1967,,
445,0,Gould 1967,,
446,0,Gould 1967,,
447,0,Gould 1967,,
448,0,Gould 1967,,
449,0,Gould 1967,,
450,1,Gould 1967,,
451,0,Gould 1967,,
452,0,Gould 1967,,
453,0,Gould 1967,,
454,0,Gould 1967,,
455,0,Gould 1967,,
456,0,Gould 1967,(i.e. totemic beings),
457,0,Gould 1967,,
458,0,Gould 1967,,
459,1,Gould 1967,,
460,1,Gould 1967,,
461,0,Gould 1967,,
462,0,Gould 1967,,
463,0,Gould 1967,,
464,0,Gould 1967,,
465,0,Gould 1967,,
466,0,Gould 1967,,
467,0,Gould 1967,,
468,0,Gould 1967,,
469,0,Gould 1967,,
470,0,Gould 1967,,
471,0,Gould 1967,,
472,1,Gould 1967,,
473,0,Gould 1967,,
474,0,Gould 1967,made in the likeness,
475,0,Gould 1967,,
476,1,Gould 1967,,
477,0,Gould 1967,,
478,0,Gould 1967,,
479,0,Gould 1967,,
480,0,Gould 1967,,
481,0,Gould 1967,,
482,0,Gould 1967,,
483,0,Gould 1967,,
484,0,Gould 1967,,
485,0,Gould 1967,,
486,0,Gould 1967,,
487,0,Gould 1967,,
488,0,Gould 1967,,
489,0,Gould 1967,,
490,0,Gould 1967,,
491,0,Gould 1967,,
492,0,Gould 1967,,
493,0,Gould 1967,,
494,0,Gould 1967,,
495,0,Gould 1967,,
496,0,Gould 1967,,
497,0,Gould 1967,,
498,0,Gould 1967,,
499,0,Gould 1967,,
500,0,Gould 1967,,
501,0,Gould 1967,,
502,0,Gould 1967,,
503,0,Gould 1967,,
504,0,Gould 1967,,
505,0,Gould 1967,,
506,0,Gould 1967,,
507,0,Gould 1967,,
508,0,Gould 1967,,
509,0,Gould 1967,,
510,0,Gould 1967,,
511,0,Gould 1967,,
512,0,Gould 1967,,
513,0,Gould 1967,,
514,0,Gould 1967,,
515,0,Gould 1967,,
516,0,Gould 1967,,
517,0,Gould 1967,,
518,0,Gould 1967,,
519,0,Gould 1967,,
520,0,Gould 1967,,
521,0,Gould 1967,,
522,0,Gould 1967,,
523,0,Gould 1967,,
524,0,Gould 1967,,
525,0,Gould 1967,,
526,0,Gould 1967,,
527,0,Gould 1967,,
528,0,Gould 1967,,
529,0,Gould 1967,,
530,0,Gould 1967,,
531,0,Gould 1967,,
532,0,Gould 1967,,
533,0,Gould 1967,,
534,0,Gould 1967,,
535,0,Gould 1967,,
536,0,Gould 1967,,
537,0,Gould 1967,,
538,0,Gould 1967,,
539,0,Gould 1967,,
540,0,Gould 1967,,
541,0,Gould 1967,,
542,0,Gould 1967,,
543,0,Gould 1967,,
544,0,Gould 1967,,
545,0,Gould 1967,,
546,0,Gould 1967,,
547,0,Gould 1967,,
548,0,Gould 1967,,
549,0,Gould 1967,,
550,0,Gould 1967,,
551,0,Gould 1967,,
552,0,Gould 1967,,
553,0,Gould 1967,,
554,0,Gould 1967,,
555,0,Gould 1967,,
556,0,Gould 1967,,
557,0,Gould 1967,,
558,0,Gould 1967,,
559,0,Gould 1967,,
560,0,Gould 1967,,
561,0,Gould 1967,,
562,0,Gould 1967,,
563,0,Gould 1967,,
564,0,Gould 1967,,
565,0,Gould 1967,,
566,0,Gould 1967,,
567,0,Gould 1967,,
568,0,Gould 1967,,
569,0,Gould 1967,,
570,0,Gould 1967,,
571,0,Gould 1967,,
572,0,Gould 1967,,
573,0,Gould 1967,,
574,0,Gould 1967,,
575,0,Gould 1967,,
576,0,Gould 1967,,
577,0,Gould 1967,,
578,0,Gould 1967,,
579,0,Gould 1967,,
580,0,Gould 1967,,
581,0,Gould 1967,,
582,0,Gould 1967,,
583,0,Gould 1967,,
584,1,Gould 1967,,
585,0,Gould 1967,,
586,0,Gould 1967,,
587,0,Gould 1967,,
588,0,Gould 1967,,
589,0,Gould 1967,,
590,0,Gould 1967,,
591,0,Gould 1967,,
592,0,Gould 1967,,
593,0,Gould 1967,,
594,0,Gould 1967,,
595,0,Gould 1967,,
596,0,Gould 1967,,
597,0,Gould 1967,,
598,0,Gould 1967,,
599,0,Gould 1967,,
600,0,Gould 1967,,
601,0,Gould 1967,,
602,0,Gould 1967,,
603,0,Gould 1967,,
604,0,Gould 1967,,
605,0,Gould 1967,,
606,0,Gould 1967,,
607,0,Gould 1967,,
608,0,Gould 1967,,
609,0,Gould 1967,,
610,0,Gould 1967,,
611,0,Gould 1967,,
612,0,Gould 1967,,
613,0,Gould 1967,,
614,0,Gould 1967,,
615,0,Gould 1967,,
616,0,Gould 1967,,
617,0,Gould 1967,,
618,0,Gould 1967,,
