ID,Name,Latitude,Longitude,Glottocode,Name_and_ID_in_source,xd_id,main_focal_year,HRAF_name_ID,HRAF_ID,region,comment
CARNEIRO6_043,Chachi,1,-79,chac1249,Cayapa,xd1376,,Chachi (SD06),SD06,Western South America,
CARNEIRO6_045,Kutenai,50,-117,kute1249,Kutenai,xd1205,,Kutenai (NF08),NF08,Western Canada,
CARNEIRO6_046,Tehuelche,-46,-70,tehu1242,Tehuelche,xd1386,,Tehuelche (SH05),SH05,Southern South America,
CARNEIRO6_047,Abipón,-29,-61,abip1241,Abipones,xd1390,,Abipón (SI04),SI04,Southern South America,
CARNEIRO6_048,Guaraní,-23.5,-56.5,tupi1282,Guaraní,xd1408,,Guaraní (SM04),SM04,Western South America,"Guaraní in Paraguay, but not clear wheter closer to Paraguayan Guaraní (para1311) or Mbyá Guaraní (mbya1239)"
CARNEIRO6_049,Blackfoot,51,-112,pieg1239,Blackfoot,xd1211,1800,Blackfoot (NF06),NF06,Western Canada,
CARNEIRO6_050,Ticuna,-3,-70,ticu1245,Tukuna,xd1366,,Ticuna (SQ20),SQ20,Western South America,
CARNEIRO6_051,Kuikuru,-13,-54,kuik1246,Kuikuru,xd1398,,,,Brazil,
CARNEIRO6_052,Cubeo,1,-71,cube1242,Cubeo,xd1369,,Tucano (SQ19),SQ19,Western South America,
CARNEIRO6_053,Havasupai,36,-112,hava1249,Havasupai,xd1163,1870,Havasupai (NT14),NT14,Southwestern U.S.A.,
CARNEIRO6_054,Aeta,15.23,120.16,boto1242,Zambales Negrito,xd904,,,,Malesia,
CARNEIRO6_055,Yanomami,2,-65,yano1261,Yanomamö,xd1361,,Yanoama (SQ18),SQ18,Northern South America,
CARNEIRO6_056,Shavante,-14,-52,xava1240,Shavante,xd1409,,Xavante (SP26),SP26,Brazil,
CARNEIRO6_057,Barama River Carib,5,-59,mura1272,Barama River Caribs,xd1346,,Barama River Carib (SR09),SR09,Northern South America,
CARNEIRO6_058,Chippewa,47.35,-94.27,chip1241,Chippewa (Northcentral Minnesota),xd1052,,Ojibwa (NG06),NG06,North-Central U.S.A.,"Coordinates from glottolog chip1241, cross-id to Minnesota Ojibwa (EA Na36)"
CARNEIRO6_059,Lengua,-23,-59,nort2971,Lengua,xd1396,,Enxet And Enlhet (SK15),SK15,Southern South America,
CARNEIRO6_060,Karankawa,29,-96,kara1289,Karankawa,xd1215,,,,South-Central U.S.A.,
CARNEIRO6_061,"Yolngu, Dhuwal",-12.48,135.96,dhuw1249,Murngin,xd777,,Yolngu (OI17),OI17,Australia,
CARNEIRO6_062,Tasiilaq,66,-37,tunu1234,Ammassalik,xd1040,,,,Subarctic America,
CARNEIRO6_063,Amahuaca,-10,-72,amah1246,Amahuaca,xd1372,,Amahuaca (SE06),SE06,Western South America,
CARNEIRO6_064,Andamanese,12,93,akab1249,Andamanese,xd686,,Andamans (AZ02),AZ02,Indo-China,
CARNEIRO6_065,Vedda,8,81,vedd1240,Vedda,xd690,,Vedda (AX05),AX05,Indian Subcontinent,
CARNEIRO6_066,Pitjantjatjara,-26,130,pitj1243,Pitjantjatjara,xd967,,,,Australia,
CARNEIRO6_067,!Kung,-20,21,juho1239,Bushmen (NW groups),xd1,,San (FX10),FX10,Southern Africa,
CARNEIRO6_068,Semang,5,101,kens1248,Semang,xd725,,Semang (AN07),AN07,Malesia,
CARNEIRO6_069,Sirionó,-16,-64,siri1273,Sirionó,xd1362,,Sirionó (SF21),SF21,Western South America,
CARNEIRO6_070,Ona,-54,-69,onaa1245,Ona,xd1385,,Ona (SH04),SH04,Southern South America,
CARNEIRO6_071,Tasmanians,-42,146,port1278,Tasmanians,xd783,,Tasmanians (OI19),OI19,Australia,"Not specified whether ""Northwestern (xd783)"" or ""Southeastern (xd980)"", but matched to EA - Tasmanians (Id8) (xd783)"
CARNEIRO6_072,Alacaluf,-52,-74,qawa1238,Alacaluf,xd1387,,,,Southern South America,
CARNEIRO6_073,Zulu,-29,31,zulu1248,Zulu (Tsaka Classic),xd13,,Zulu (FX20),FX20,Southern Africa,
CARNEIRO6_074,Eauripik,6.69,143.04,wole1240,Eauripik,,,,,Northwestern Pacific,
CARNEIRO6_075,Klallam,48,-123,clal1241,Klallam,xd1075,,,,Northwestern U.S.A.,
CARNEIRO6_076,Xikrin,-6.4,-50.8,xikr1238,Xikrin,,,,,Brazil,Coordinates based on the location of the Xikrin do Rio Catete Indigenous Area
CARNEIRO6_077,Seri,29,-112,seri1257,Seri,xd1289,,Seri (NU31),NU31,Mexico,
CARNEIRO6_078,Agta (Casiguran),17.33,122.13,casi1235,Agta (NE Luzon),xd906,,,,Malesia,The main source (Tom N. Headland) studied Casiguran Agta
CARNEIRO6_079,Dene,60,-105,chip1261,Chipewyan,xd1046,,Chipewyans (ND07),ND07,Subarctic America,
CARNEIRO6_080,Anak Dalam,-3,103,kubu1239,Kubu,xd757,,,,Malesia,
